title,price,rating,category,availability
A Light in the Attic,£51.77,Three,Poetry,In stock
Tipping the Velvet,£53.74,One,Historical Fiction,In stock
Soumission,£50.10,One,Fiction,In stock
Sharp Objects,£47.82,Four,Mystery,In stock
Sapiens: A Brief History of Humankind,£54.23,Five,History,In stock
The Requiem Red,£22.65,One,Young Adult,In stock
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,Business,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,Default,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,Default,In stock
The Black Maria,£52.15,One,Poetry,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,Default,In stock
Shakespeare's Sonnets,£20.66,Four,Poetry,In stock
Set Me Free,£17.46,Five,Young Adult,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,Sequential Art,In stock
Rip it Up and Start Again,£35.02,Five,Music,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,Music,In stock
Olio,£23.88,One,Poetry,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,Science Fiction,In stock
Libertarianism for Beginners,£51.33,Two,Politics,In stock
It's Only the Himalayas,£45.17,Two,Travel,In stock
In Her Wake,£12.84,One,Thriller,In stock
How Music Works,£37.32,Two,Music,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,Food and Drink,In stock
Chase Me (Paris Nights #2),£25.27,Five,Romance,In stock
Black Dust,£34.53,Five,Romance,In stock
Birdsong: A Story in Pictures,£54.64,Three,Childrens,In stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,Default,In stock
Aladdin and His Wonderful Lamp,£53.13,Three,Default,In stock
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,Nonfiction,In stock
Wall and Piece,£44.18,Four,Art,In stock
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,Spirituality,In stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,Nonfiction,In stock
The Elephant Tree,£23.82,Five,Thriller,In stock
The Bear and the Piano,£36.89,One,Childrens,In stock
Sophie's World,£15.94,Five,Philosophy,In stock
Penny Maybe,£33.29,Three,Default,In stock
Maude (1883-1993):She Grew Up with the country,£18.02,Two,Default,In stock
"In a Dark, Dark Wood",£19.63,One,Mystery,In stock
Behind Closed Doors,£52.22,Four,Thriller,In stock
You can't bury them all: Poems,£33.63,Two,Poetry,In stock
Slow States of Collapse: Poems,£57.31,Three,Poetry,In stock
Reasons to Stay Alive,£26.41,Two,Nonfiction,In stock
Private Paris (Private #10),£47.61,Five,Fiction,In stock
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,Nonfiction,In stock
Without Borders (Wanderlove #1),£45.07,Two,New Adult,In stock
When We Collided,£31.77,One,Contemporary,In stock
"We Love You, Charlie Freeman",£50.27,Five,Fiction,In stock
Untitled Collection: Sabbath Poems 2014,£14.27,Four,Poetry,In stock
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,Nonfiction,In stock
Unicorn Tracks,£18.78,Three,Fantasy,In stock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,History,In stock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,Sequential Art,In stock
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,Nonfiction,In stock
This One Summer,£19.49,Four,Sequential Art,In stock
Thirst,£17.27,Five,Fiction,In stock
The Torch Is Passed: A Harding Family Story,£19.09,One,Add a comment,In stock
The Secret of Dreadwillow Carse,£56.13,One,Childrens,In stock
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,Food and Drink,In stock
The Past Never Ends,£56.50,Four,Mystery,In stock
The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three,Young Adult,In stock
The Nameless City (The Nameless City #1),£38.16,Four,Sequential Art,In stock
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,Fiction,In stock
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,Science,In stock
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four,Add a comment,In stock
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,Nonfiction,In stock
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five,Default,In stock
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,Nonfiction,In stock
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,Nonfiction,In stock
The Death of Humanity: and the Case for Life,£58.11,Four,Philosophy,In stock
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,Health,In stock
The Art Forger,£40.76,Three,Add a comment,In stock
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,History,In stock
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five,Spirituality,In stock
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,Nonfiction,In stock
Soul Reader,£39.58,Two,Default,In stock
Security,£39.25,Two,Horror,In stock
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,Fantasy,In stock
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,Sequential Art,In stock
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,Nonfiction,In stock
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,Sequential Art,In stock
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,Sequential Art,In stock
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,Fantasy,In stock
"Pop Gun War, Volume 1: Gift",£18.97,One,Sequential Art,In stock
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,History,In stock
Patience,£10.16,Three,Sequential Art,In stock
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,Sequential Art,In stock
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,Sequential Art,In stock
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One,Self Help,In stock
On a Midnight Clear,£14.07,Three,Add a comment,In stock
Obsidian (Lux #1),£14.86,Two,Young Adult,In stock
My Paris Kitchen: Recipes and Stories,£33.37,Two,Food and Drink,In stock
Masks and Shadows,£56.40,Two,Fantasy,In stock
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,Food and Drink,In stock
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,Sequential Art,In stock
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,Sequential Art,In stock
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,Sequential Art,In stock
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,Food and Drink,In stock
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two,Add a comment,In stock
Join,£35.67,Five,Science Fiction,In stock
In the Country We Love: My Family Divided,£22.00,Four,Nonfiction,In stock
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,Five,Science,In stock
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,Two,Sequential Art,In stock
I am a Hero Omnibus Volume 1,£54.63,Three,Sequential Art,In stock
How to Be Miserable: 40 Strategies You Already Use,£46.03,One,Self Help,In stock
Her Backup Boyfriend (The Sorensen Family #1),£33.97,One,Romance,In stock
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,Two,Sequential Art,In stock
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,Three,Historical Fiction,In stock
First and First (Five Boroughs #3),£15.97,Four,Romance,In stock
Fifty Shades Darker (Fifty Shades #2),£21.96,One,Romance,In stock
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,Two,Nonfiction,In stock
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,Two,Religion,In stock
Danganronpa Volume 1,£51.99,Four,Sequential Art,In stock
Crown of Midnight (Throne of Glass #2),£43.29,Three,Fantasy,In stock
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,Four,Sequential Art,In stock
Camp Midnight,£17.08,Four,Sequential Art,In stock
